koi_period,koi_period_err1,koi_duration,koi_duration_err1,koi_depth,koi_depth_err1,koi_prad,koi_prad_err1,koi_prad_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_model_snr
-0.5268101349461597,-0.3093193381774407,-0.5794623957522662,-0.4720966092452331,-0.3237091985573543,-0.3071552379099396,-0.5721266080200373,-0.3634928993146303,0.29715405206240053,-0.48206852043513765,-0.28237496651471394,0.15683482369150092,-0.28756920500734706
0.7375060391599915,-0.27091998156406566,-0.10299707355923052,-0.4021279694775561,-0.0957025261074386,-0.18632927250439177,-0.5222518948150223,-0.3581546588286743,0.2943334028553314,-0.48206852043513765,-0.28237496651471394,0.15683482369150092,-0.4662024552411646
-0.23384717118680554,-0.31155370455589776,-0.940862649494425,-0.5701758168961117,1.866948538796264,0.8369156220238412,0.5076171831201116,-0.037860229671317094,0.21535522505739618,-0.6088587765242683,-0.14205861908558204,0.1488341359731745,0.43589545843961425
-0.7449215090539478,-0.31411371980465774,-0.7489204624882199,-0.6291259348000814,1.866948538796264,-0.3577511109235127,1.9107809894954126,0.3696254607566541,0.10817055518876975,-0.7743308056575403,-0.17713770594286501,0.154011051555621,1.919667893194262
-0.7227296161227762,-0.3135035860348027,-0.980129910962028,-0.5539660733722218,-0.3347133815906514,-0.3267894572883411,-0.5292518545630946,-0.30833108095975215,0.283050806027055,-0.22633902086553534,-0.03134025119228268,0.12294955806094192,-0.19646624738810006
-0.48161012654385166,-0.31060832861747173,-0.07609115830147588,-0.514980614264132,0.4700885487325646,-0.2716626105720599,-0.42862743318455554,-0.2736325178010384,0.27811466991468403,-0.385364087824784,-0.05216845901379446,0.13612716136171488,0.26083487321047305
-0.6774576164591067,-0.31233512230574073,-0.5232828446940748,-0.5020538567703969,-0.2619097066423578,-0.313196536180217,-0.5275018646260765,-0.30655166746443346,0.28657661753589136,-0.385364087824784,-0.05216845901379446,0.13612716136171488,-0.20897057490446722
-0.7215759768229755,-0.31105310880990467,-0.7419741239091037,-0.3015865223040612,-0.6664234749463588,-0.3275446195721257,-0.6307512709101426,-0.3403605238754878,0.295743727458866,-0.385364087824784,-0.05216845901379446,0.13612716136171488,-0.6591263654936876
-0.5866415710912501,-0.31044785890098614,0.05536345624355343,-0.36109064410061936,-0.6600850655191797,-0.4106124707884399,1.9107809894954126,0.18723557748649233,-0.37416045922004915,1.733537480037635,-0.04449490876376381,-0.04177048319871996,-0.07499563722910402
-0.34163522157053267,-0.31226186439169296,-0.4019756039033987,-0.5906944795845801,1.866948538796264,-0.20294284274765462,-0.2658783690418752,-0.3670517263052676,0.27317853380231305,-0.6518385243510922,-0.3613029119436006,0.1516579081090544,1.919667893194262
