kepid,kepoi_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_model_snr
11768970,K07478.01,FALSE POSITIVE,15.541358818,1.501e-06,-1.501e-06,2.44433,0.00267,-0.00267,10308.0,7.4,-7.4,149.19,27.57,-30.3,3.54,0.654,-0.719,773.4
11773625,K07479.01,CANDIDATE,7.1969168,0.0001483,-0.0001483,4.525,0.429,-0.429,47.1,5.6,-5.6,1.1,0.18,-0.27,1.575,0.259,-0.389,10.4
11775530,K07480.01,FALSE POSITIVE,12.8177012,0.0002311,-0.0002311,3.465,0.425,-0.425,75.6,10.9,-10.9,1.21,0.55,-0.3,1.385,0.622,-0.344,8.0
11811454,K07481.01,FALSE POSITIVE,2.274628199,1.43e-07,-1.43e-07,4.52648,0.00225,-0.00225,103970.0,33.1,-33.1,104.26,24.68,-45.84,1.947,0.461,-0.856,2047.9
8560280,K07896.01,FALSE POSITIVE,85.338393,0.001547,-0.001547,8.5,1.2,-1.2,633.0,39.5,-39.5,11.4,1.31,-0.8,4.696,0.537,-0.331,27.9
2860594,K06296.01,FALSE POSITIVE,5.499941793,2.204e-06,-2.204e-06,11.3096,0.028,-0.028,47751.0,71.7,-71.7,59.94,9.92,-14.86,2.634,0.436,-0.653,814.1
2860788,K06297.01,FALSE POSITIVE,2.629870555,4.86e-07,-4.86e-07,6.606,0.01,-0.01,101310.0,166.0,-166.0,34.05,9.19,-6.13,0.967,0.261,-0.174,1026.0
2969638,K06298.01,FALSE POSITIVE,1.97362159,,,3.29,,,,,,,,,,,,
2970670,K06299.01,CANDIDATE,0.947554749,4.034e-06,-4.034e-06,1.097,0.11,-0.11,65.4,6.7,-6.7,0.67,0.08,-0.02,0.84,0.101,-0.027,12.4
2973509,K06300.01,FALSE POSITIVE,6.62761199,2.69e-07,-2.69e-07,6.15281,0.00132,-0.00132,227140.0,29.2,-29.2,82.03,25.17,-16.8,1.333,0.409,-0.273,4355.5
