kepid,kepoi_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_model_snr
10797460,K00752.01,CONFIRMED,9.48803557,2.775e-05,-2.775e-05,2.9575,0.0819,-0.0819,615.8,19.5,-19.5,2.26,0.26,-0.15,0.927,0.105,-0.061,35.8
10797460,K00752.02,CONFIRMED,54.4183827,0.0002479,-0.0002479,4.507,0.116,-0.116,874.8,35.5,-35.5,2.83,0.32,-0.19,0.927,0.105,-0.061,25.8
10811496,K00753.01,CANDIDATE,19.89913995,1.494e-05,-1.494e-05,1.7822,0.0341,-0.0341,10829.0,171.0,-171.0,14.6,3.92,-1.31,0.868,0.233,-0.078,76.3
10848459,K00754.01,FALSE POSITIVE,1.736952453,2.63e-07,-2.63e-07,2.40641,0.00537,-0.00537,8079.2,12.8,-12.8,33.46,8.5,-2.83,0.791,0.201,-0.067,505.6
10854555,K00755.01,CONFIRMED,2.525591777,3.761e-06,-3.761e-06,1.6545,0.042,-0.042,603.3,16.9,-16.9,2.75,0.88,-0.35,1.046,0.334,-0.133,40.9
10872983,K00756.01,CONFIRMED,11.09432054,2.036e-05,-2.036e-05,4.5945,0.061,-0.061,1517.5,24.2,-24.2,3.9,1.27,-0.42,0.972,0.315,-0.105,66.5
10872983,K00756.02,CONFIRMED,4.13443512,1.046e-05,-1.046e-05,3.1402,0.0673,-0.0673,686.0,18.7,-18.7,2.77,0.9,-0.3,0.972,0.315,-0.105,40.2
10872983,K00756.03,CONFIRMED,2.56658897,1.781e-05,-1.781e-05,2.429,0.165,-0.165,226.5,16.8,-16.8,1.59,0.52,-0.17,0.972,0.315,-0.105,15.0
6721123,K00114.01,FALSE POSITIVE,7.36178958,2.128e-05,-2.128e-05,5.022,0.136,-0.136,233.7,5.8,-5.8,39.21,6.45,-9.67,1.958,0.322,-0.483,47.7
10910878,K00757.01,CONFIRMED,16.06864674,1.088e-05,-1.088e-05,3.5347,0.0241,-0.0241,4914.3,33.3,-33.3,5.76,0.22,-0.49,0.848,0.033,-0.072,161.9
11446443,K00001.01,CONFIRMED,2.470613377,2.7e-08,-2.7e-08,1.74319,0.00107,-0.00107,14231.0,4.2,-4.2,13.04,0.51,-0.51,0.964,0.038,-0.038,4304.3
10666592,K00002.01,CONFIRMED,2.204735417,4.3e-08,-4.3e-08,3.88864,0.00203,-0.00203,6674.7,1.7,-1.7,16.1,0.81,-0.91,1.952,0.099,-0.11,5945.9
6922244,K00010.01,CONFIRMED,3.522498429,1.98e-07,-1.98e-07,3.19843,0.00653,-0.00653,9145.7,6.6,-6.6,14.59,1.11,-1.11,1.451,0.11,-0.11,1741.5
10984090,K00112.02,CONFIRMED,3.709214104,6.536e-06,-6.536e-06,2.6302,0.0427,-0.0427,131.1,3.0,-3.0,1.16,0.17,-0.12,1.022,0.143,-0.107,50.6
10419211,K00742.01,FALSE POSITIVE,11.521446064,1.98e-06,-1.98e-06,3.6399,0.0114,-0.0114,17984.0,31.9,-31.9,150.51,39.76,-13.31,0.848,0.224,-0.075,622.1
10464078,K00743.01,FALSE POSITIVE,19.40393776,2.068e-05,-2.068e-05,12.2155,0.0598,-0.0598,8918.7,53.3,-53.3,7.18,0.76,-0.68,0.68,0.072,-0.065,214.7
10480982,K00744.01,FALSE POSITIVE,19.221388942,1.123e-06,-1.123e-06,4.79843,0.00235,-0.00235,74284.0,21.9,-21.9,49.29,16.03,-5.0,0.947,0.308,-0.096,2317.0
10485250,K00745.01,FALSE POSITIVE,16.46983774,1.361e-05,-1.361e-05,9.4378,0.06,-0.06,10479.0,39.9,-39.9,7.94,0.89,-0.89,0.786,0.088,-0.088,303.4
10526549,K00746.01,CONFIRMED,9.27358173,1.037e-05,-1.037e-05,3.2875,0.0309,-0.0309,1288.3,16.8,-16.8,2.47,0.2,-0.24,0.696,0.056,-0.068,87.2
10583066,K00747.01,CONFIRMED,6.02930329,5.509e-06,-5.509e-06,1.5821,0.0311,-0.0311,1912.7,34.4,-34.4,2.85,0.26,-0.15,0.672,0.062,-0.036,65.4
10583180,K00748.01,FALSE POSITIVE,2.696370652,7.534e-06,-7.534e-06,3.6129,0.0686,-0.0686,397.9,9.5,-9.5,1.58,0.13,-0.16,0.819,0.067,-0.082,48.2
10601284,K00749.01,CONFIRMED,5.349553819,8.834e-06,-8.834e-06,3.0278,0.0471,-0.0471,831.0,14.8,-14.8,2.55,0.16,-0.24,0.91,0.057,-0.086,60.6
10601284,K00749.02,CONFIRMED,3.94105221,1.094e-05,-1.094e-05,2.5984,0.0737,-0.0737,363.3,13.9,-13.9,1.7,0.11,-0.16,0.91,0.057,-0.086,28.9
10601284,K00749.03,CONFIRMED,8.10904807,6.787e-05,-6.787e-05,3.596,0.198,-0.198,217.4,16.8,-16.8,1.3,0.09,-0.12,0.91,0.057,-0.086,14.1
2306756,K00113.01,FALSE POSITIVE,386.6030528,0.0001369,-0.0001369,6.8057,0.0184,-0.0184,24927.0,45.8,-45.8,41.5,1.68,-1.68,1.58,0.064,-0.064,994.0
10662202,K00750.01,CONFIRMED,21.67699193,7.01e-05,-7.01e-05,3.4555,0.0656,-0.0656,857.2,27.1,-27.1,2.95,0.12,-0.23,0.828,0.032,-0.065,34.3
10682541,K00751.01,CONFIRMED,4.99677968,1.389e-05,-1.389e-05,2.1717,0.0762,-0.0762,934.7,39.7,-39.7,2.78,0.52,-0.23,0.847,0.161,-0.069,28.2
11460018,K00769.01,CONFIRMED,4.280963604,6.141e-06,-6.141e-06,2.875,0.042,-0.042,750.8,14.1,-14.1,2.3,0.58,-0.19,0.831,0.207,-0.069,61.8
11463211,K00770.01,FALSE POSITIVE,1.50635409,4.7e-07,-4.7e-07,1.5155,0.0483,-0.0483,2211.7,18.3,-18.3,4.53,1.01,-0.44,0.831,0.186,-0.08,181.1
11465813,K00771.01,FALSE POSITIVE,670.645531,0.001237,-0.001237,53.412,0.131,-0.131,18091.0,33.5,-33.5,14.14,2.13,-0.71,0.983,0.148,-0.049,642.7
11493732,K00772.01,FALSE POSITIVE,61.2563628,0.000156,-0.000156,7.633,0.105,-0.105,5123.3,70.6,-70.6,39.87,12.79,-5.48,1.091,0.35,-0.15,85.3
11507101,K00773.01,CONFIRMED,38.3775486,0.0001602,-0.0001602,5.588,0.113,-0.113,724.2,23.4,-23.4,2.82,0.37,-0.34,1.036,0.138,-0.124,34.7
10910878,K00757.02,CONFIRMED,41.19725502,9.345e-05,-9.345e-05,4.6297,0.0633,-0.0633,2213.9,45.5,-45.5,3.86,0.15,-0.33,0.848,0.033,-0.072,51.2
10910878,K00757.03,CONFIRMED,6.252962249,9.577e-06,-9.577e-06,2.5819,0.0426,-0.0426,1036.9,24.5,-24.5,2.65,0.1,-0.23,0.848,0.033,-0.072,47.1
10987985,K00758.01,CONFIRMED,16.01308419,4.854e-05,-4.854e-05,3.2554,0.0791,-0.0791,1121.9,39.4,-39.4,3.1,0.34,-0.31,0.826,0.091,-0.082,33.2
11018648,K00759.01,CONFIRMED,32.62876672,5.801e-05,-5.801e-05,4.7971,0.058,-0.058,1804.8,25.4,-25.4,3.36,0.76,-0.33,0.798,0.181,-0.077,80.0
11018648,K00759.02,CONFIRMED,91.7732862,0.0007518,-0.0007518,6.473,0.204,-0.204,652.0,36.2,-36.2,2.12,0.48,-0.21,0.798,0.181,-0.077,19.1
11138155,K00760.01,CONFIRMED,4.959319244,5.15e-07,-5.15e-07,2.22739,0.0075,-0.0075,9802.0,20.0,-20.0,12.21,1.96,-1.46,1.082,0.173,-0.13,696.5
11152159,K00761.01,FALSE POSITIVE,2.701287801,5.634e-06,-5.634e-06,3.3827,0.0892,-0.0892,860.4,20.9,-20.9,6.54,1.64,-0.75,0.91,0.228,-0.105,48.3
11153539,K00762.01,CONFIRMED,4.49876511,1.777e-05,-1.777e-05,3.7362,0.0934,-0.0934,460.0,17.5,-17.5,2.1,0.65,-0.22,0.969,0.3,-0.1,29.5
11242721,K00763.01,FALSE POSITIVE,19.651209505,5.862e-06,-5.862e-06,5.2514,0.0179,-0.0179,11766.0,27.7,-27.7,12.42,3.92,-1.69,1.063,0.336,-0.144,513.4
9579641,K00115.01,CONFIRMED,5.412203927,3.052e-06,-3.052e-06,2.9472,0.024,-0.024,601.6,4.0,-4.0,2.94,0.43,-0.38,1.087,0.157,-0.142,166.7
11304958,K00764.01,CONFIRMED,41.43958662,7.557e-05,-7.557e-05,10.5989,0.088,-0.088,2793.1,22.6,-22.6,5.5,1.57,-0.96,1.046,0.297,-0.183,141.1
11391957,K00765.01,CONFIRMED,8.35389523,1.524e-05,-1.524e-05,2.2514,0.0518,-0.0518,1041.6,28.2,-28.2,2.52,0.54,-0.24,0.787,0.169,-0.073,43.4
11403044,K00766.01,CONFIRMED,4.125543472,3.133e-06,-3.133e-06,3.1744,0.0362,-0.0362,1487.3,13.3,-13.3,4.43,1.44,-0.51,1.103,0.358,-0.128,128.6
11414511,K00767.01,CONFIRMED,2.816504904,1.65e-07,-1.65e-07,2.50587,0.00666,-0.00666,16814.0,11.0,-11.0,12.21,1.62,-0.87,0.955,0.127,-0.068,1406.8
11442465,K00768.01,FALSE POSITIVE,33.93373447,6.154e-05,-6.154e-05,14.561,0.104,-0.104,8503.7,44.3,-44.3,7.34,0.9,-0.6,0.705,0.086,-0.058,236.1
12110942,K00786.01,CONFIRMED,3.689920099,8.982e-06,-8.982e-06,2.6557,0.0677,-0.0677,426.7,13.8,-13.8,1.89,0.54,-0.2,0.917,0.262,-0.098,35.6
12366084,K00787.01,CONFIRMED,4.431238488,6.106e-06,-6.106e-06,3.15,0.0423,-0.0423,1010.9,15.2,-15.2,3.25,0.47,-0.25,1.015,0.148,-0.079,71.1
12366084,K00787.02,CONFIRMED,11.37936986,2.415e-05,-2.415e-05,2.6255,0.073,-0.073,1023.5,29.7,-29.7,3.95,0.57,-0.31,1.015,0.148,-0.079,37.9
12404086,K00788.01,CONFIRMED,26.39432897,5.724e-05,-5.724e-05,3.573,0.0643,-0.0643,1510.9,36.3,-36.3,3.07,0.41,-0.22,0.763,0.103,-0.055,48.2
8395660,K00116.01,CONFIRMED,13.57078281,1.585e-05,-1.585e-05,3.3539,0.0489,-0.0489,511.7,6.3,-6.3,2.64,0.4,-0.27,1.012,0.154,-0.103,88.4
9579641,K00115.02,CONFIRMED,7.12594387,1.406e-05,-1.406e-05,3.0014,0.0384,-0.0384,192.4,4.4,-4.4,1.79,0.26,-0.23,1.087,0.157,-0.142,47.1
11656840,K00774.01,FALSE POSITIVE,7.442652004,7.02e-07,-7.02e-07,2.3078,0.0129,-0.0129,24446.0,37.8,-37.8,15.03,4.73,-1.58,0.956,0.301,-0.1,835.6
11754553,K00775.01,CONFIRMED,16.38489988,5.219e-05,-5.219e-05,3.0249,0.0798,-0.0798,1127.1,42.0,-42.0,2.0,0.09,-0.1,0.615,0.027,-0.029,28.9
11754553,K00775.02,CONFIRMED,7.8774163,1.493e-05,-1.493e-05,2.0805,0.0517,-0.0517,1306.1,37.7,-37.7,2.16,0.09,-0.11,0.615,0.027,-0.029,38.7
11754553,K00775.03,CONFIRMED,36.4454001,0.0001809,-0.0001809,4.007,0.126,-0.126,1122.3,53.4,-53.4,1.99,0.09,-0.09,0.615,0.027,-0.029,21.7
11812062,K00776.01,CONFIRMED,3.728732147,9.36e-07,-9.36e-07,2.683,0.035,-0.035,5226.5,18.5,-18.5,6.02,1.22,-0.52,0.809,0.164,-0.07,345.2
11818800,K00777.01,CANDIDATE,40.4195037,0.0001139,-0.0001139,3.362,0.14,-0.14,6256.0,230.0,-230.0,7.51,1.12,-0.91,0.781,0.116,-0.095,36.9
11853255,K00778.01,CONFIRMED,2.243380573,2.67e-06,-2.67e-06,1.1196,0.0384,-0.0384,821.7,25.6,-25.6,1.99,0.1,-0.12,0.564,0.03,-0.033,38.9
11909839,K00779.01,FALSE POSITIVE,10.405998015,2.515e-06,-2.515e-06,6.5036,0.0145,-0.0145,14489.0,22.4,-22.4,11.23,2.92,-1.95,0.924,0.241,-0.16,745.2
11918099,K00780.01,CONFIRMED,2.337437946,1.951e-06,-1.951e-06,1.9982,0.0271,-0.0271,971.2,13.7,-13.7,2.34,0.17,-0.09,0.765,0.055,-0.028,82.4
11918099,K00780.02,CANDIDATE,7.2406612,1.617e-05,-1.617e-05,0.558,0.171,-0.171,556.4,44.1,-44.1,19.45,1.4,-0.71,0.765,0.055,-0.028,13.7
9579641,K00115.03,CANDIDATE,3.43591631,4.729e-05,-4.729e-05,3.133,0.407,-0.407,23.2,3.4,-3.4,0.55,0.08,-0.07,1.087,0.157,-0.142,8.7
11923270,K00781.01,CONFIRMED,11.59822233,1.407e-05,-1.407e-05,2.5237,0.052,-0.052,2804.5,46.3,-46.3,2.65,0.21,-0.29,0.473,0.037,-0.051,71.0
11960862,K00782.01,CONFIRMED,6.575315881,3.726e-06,-3.726e-06,4.3084,0.0306,-0.0306,2793.3,14.9,-14.9,5.31,1.5,-0.81,0.989,0.28,-0.151,221.1
12020329,K00783.01,CONFIRMED,7.275040844,4.677e-06,-4.677e-06,7.5377,0.0681,-0.0681,3001.0,11.5,-11.5,4.86,1.05,-0.37,0.867,0.187,-0.067,312.1
12066335,K00784.01,CONFIRMED,19.27153892,4.145e-05,-4.145e-05,2.7594,0.0551,-0.0551,1219.8,35.3,-35.3,1.93,0.1,-0.12,0.56,0.03,-0.034,37.1
12066335,K00784.02,CONFIRMED,10.06524317,1.49e-05,-1.49e-05,1.369,0.0393,-0.0393,1053.3,39.2,-39.2,1.91,0.1,-0.12,0.56,0.03,-0.034,30.3
12070811,K00785.01,CONFIRMED,12.3935651,3.932e-05,-3.932e-05,3.8896,0.0834,-0.0834,916.6,29.1,-29.1,2.66,0.54,-0.23,0.75,0.152,-0.065,35.8
8395660,K00116.02,CONFIRMED,43.84439721,9.613e-05,-9.613e-05,6.802,0.119,-0.119,615.2,7.7,-7.7,2.87,0.43,-0.3,1.012,0.154,-0.103,83.7
3120431,K00798.01,FALSE POSITIVE,3.341913228,9.953e-06,-9.953e-06,3.813,0.12,-0.12,725.3,21.3,-21.3,21.55,3.54,-1.89,0.811,0.133,-0.071,39.0
3246984,K00799.01,FALSE POSITIVE,1.626630225,1.015e-06,-1.015e-06,2.1145,0.0285,-0.0285,1620.6,19.0,-19.0,32.43,9.0,-4.83,0.973,0.27,-0.145,103.6
3342970,K00800.01,CONFIRMED,2.711504086,3.8e-06,-3.8e-06,3.0099,0.0423,-0.0423,837.5,14.5,-14.5,3.12,1.02,-0.34,1.076,0.353,-0.118,64.5
3342970,K00800.02,CONFIRMED,7.21203748,1.553e-05,-1.553e-05,4.0491,0.058,-0.058,950.4,19.5,-19.5,3.32,1.09,-0.36,1.076,0.353,-0.118,51.5
12459725,K00789.01,FALSE POSITIVE,14.1798187,0.0001643,-0.0001643,2.505,0.315,-0.315,459.9,51.9,-51.9,1.88,0.71,-0.14,0.878,0.333,-0.065,11.2
12470844,K00790.01,CONFIRMED,8.47237911,1.56e-05,-1.56e-05,2.7245,0.0484,-0.0484,1123.5,26.7,-26.7,2.59,0.37,-0.22,0.788,0.113,-0.066,47.6
12470844,K00790.02,CONFIRMED,60.4189369,0.0005043,-0.0005043,5.039,0.184,-0.184,931.3,49.6,-49.6,2.36,0.34,-0.2,0.788,0.113,-0.066,20.1
12644822,K00791.01,CONFIRMED,12.611904345,6.65e-06,-6.65e-06,5.1497,0.0592,-0.0592,6105.6,27.6,-27.6,7.4,2.2,-0.73,0.919,0.273,-0.091,277.2
2440757,K00792.01,FALSE POSITIVE,1.433769925,7.41e-07,-7.41e-07,1.8868,0.0232,-0.0232,1976.3,20.4,-20.4,46.58,8.01,-8.0,1.339,0.23,-0.23,112.6
2445129,K00793.01,FALSE POSITIVE,10.31872301,2.846e-05,-2.846e-05,3.836,0.121,-0.121,871.7,26.4,-26.4,28.59,8.61,-3.69,1.06,0.319,-0.137,38.2
2713049,K00794.01,CONFIRMED,2.539183147,5.073e-06,-5.073e-06,2.4282,0.0559,-0.0559,382.1,11.4,-11.4,2.06,0.29,-0.28,1.062,0.154,-0.14,38.9
3114167,K00795.01,CONFIRMED,6.770300385,9.537e-06,-9.537e-06,2.0844,0.0454,-0.0454,1304.0,29.7,-29.7,2.77,0.46,-0.15,0.679,0.112,-0.037,50.8
3114661,K00796.01,FALSE POSITIVE,0.444291966,9.7e-08,-9.7e-08,2.0792,0.0115,-0.0115,10967.0,45.9,-45.9,27.51,3.46,-1.73,0.636,0.08,-0.04,299.7
3115833,K00797.01,CANDIDATE,10.181584004,6.188e-06,-6.188e-06,3.5089,0.0331,-0.0331,5741.1,53.2,-53.2,7.73,2.17,-0.72,0.836,0.234,-0.078,183.6
4139816,K00812.02,CONFIRMED,20.06036336,5.839e-05,-5.839e-05,3.3203,0.0754,-0.0754,1494.7,45.1,-45.1,1.96,0.13,-0.16,0.493,0.033,-0.04,35.2
4139816,K00812.03,CONFIRMED,46.1842039,0.0002654,-0.0002654,4.758,0.13,-0.13,1394.7,56.4,-56.4,1.83,0.12,-0.15,0.493,0.033,-0.04,26.0
8395660,K00116.04,CONFIRMED,23.9800854,0.0002003,-0.0002003,5.351,0.177,-0.177,104.0,6.5,-6.5,1.31,0.2,-0.13,1.012,0.154,-0.103,17.1
4139816,K00812.04,CONFIRMED,7.82502168,3.89e-05,-3.89e-05,2.186,0.12,-0.12,520.8,36.4,-36.4,1.2,0.08,-0.1,0.493,0.033,-0.04,15.9
4275191,K00813.01,CONFIRMED,3.895936525,7.71e-07,-7.71e-07,2.3111,0.0302,-0.0302,8544.8,29.5,-29.5,7.34,1.53,-0.65,0.774,0.161,-0.069,370.8
4476123,K00814.01,CONFIRMED,22.36646466,9.761e-05,-9.761e-05,5.228,0.122,-0.122,986.8,35.1,-35.1,2.32,0.38,-0.16,0.734,0.122,-0.052,32.1
3351888,K00801.01,CONFIRMED,1.625522174,1.58e-07,-1.58e-07,2.38963,0.00338,-0.00338,7969.0,11.8,-11.8,9.73,1.41,-1.42,1.106,0.161,-0.161,799.7
3453214,K00802.01,CANDIDATE,19.620346923,3.73e-06,-3.73e-06,2.0038,0.0292,-0.0292,21725.0,85.0,-85.0,13.6,1.82,-0.92,0.905,0.121,-0.061,340.5
3554600,K00803.01,FALSE POSITIVE,7.544039,0.0001023,-0.0001023,6.222,0.731,-0.731,322.6,28.2,-28.2,17.47,4.12,-1.65,0.824,0.194,-0.078,14.2
3641726,K00804.01,CONFIRMED,9.02930689,1.648e-05,-1.648e-05,3.1449,0.0528,-0.0528,1019.8,21.9,-21.9,2.57,0.44,-0.26,0.82,0.141,-0.082,53.9
3734868,K00805.01,FALSE POSITIVE,10.328035714,3.762e-06,-3.762e-06,7.7915,0.0272,-0.0272,16918.0,31.8,-31.8,13.28,3.64,-2.41,1.024,0.28,-0.186,636.8
3832474,K00806.01,CONFIRMED,143.2063047,0.0002348,-0.0002348,8.9302,0.0961,-0.0961,10566.0,82.4,-82.4,8.9,0.82,-0.38,0.867,0.079,-0.037,138.8
8395660,K00116.03,CONFIRMED,6.164876,4.635e-05,-4.635e-05,3.262,0.186,-0.186,55.8,4.3,-4.3,0.79,0.13,-0.08,1.012,0.154,-0.103,14.4
3832474,K00806.02,CONFIRMED,60.32494216,3.207e-05,-3.207e-05,6.6188,0.0327,-0.0327,20280.0,64.0,-64.0,12.19,1.11,-0.52,0.867,0.079,-0.037,347.2
3832474,K00806.03,CONFIRMED,29.1598615,0.0002534,-0.0002534,4.803,0.2,-0.2,488.0,43.5,-43.5,1.91,0.2,-0.07,0.867,0.092,-0.034,11.6
3836375,K00807.01,FALSE POSITIVE,1.540397253,2.702e-06,-2.702e-06,2.1541,0.0846,-0.0846,816.1,25.7,-25.7,25.69,7.44,-2.33,0.915,0.265,-0.083,38.8
3838486,K00808.01,FALSE POSITIVE,2.99025443,1.168e-05,-1.168e-05,5.414,0.113,-0.113,589.2,14.1,-14.1,1.7,0.1,-0.15,0.731,0.042,-0.063,48.5
3935914,K00809.01,CONFIRMED,1.594745374,1.13e-07,-1.13e-07,1.9604,0.0106,-0.0106,15044.0,20.3,-20.3,11.3,3.09,-1.33,0.893,0.244,-0.105,1009.3
3940418,K00810.01,CONFIRMED,4.783002698,5.432e-06,-5.432e-06,2.335,0.0332,-0.0332,1008.7,16.6,-16.6,2.5,0.34,-0.19,0.807,0.111,-0.06,70.6
4049131,K00811.01,CONFIRMED,20.50588921,3.206e-05,-3.206e-05,4.0595,0.0481,-0.0481,2105.5,31.0,-31.0,3.41,0.28,-0.31,0.761,0.063,-0.07,78.5
4139816,K00812.01,CONFIRMED,3.340218842,3.177e-06,-3.177e-06,1.9104,0.0318,-0.0318,1632.6,26.6,-26.6,2.03,0.13,-0.17,0.493,0.033,-0.04,71.6
5287983,K00828.01,FALSE POSITIVE,2.507089906,2.401e-06,-2.401e-06,2.0067,0.0427,-0.0427,1339.2,24.7,-24.7,30.26,9.57,-3.19,0.939,0.297,-0.099,64.9
5358241,K00829.01,CONFIRMED,18.64932728,5.202e-05,-5.202e-05,4.4056,0.0687,-0.0687,893.6,20.9,-20.9,3.12,0.47,-0.28,1.053,0.161,-0.094,46.1
10875245,K00117.02,CONFIRMED,4.90144976,1.07e-05,-1.07e-05,4.1654,0.0585,-0.0585,140.7,2.9,-2.9,1.7,0.08,-0.05,1.402,0.063,-0.046,50.6
5358241,K00829.02,CONFIRMED,9.75192101,4.829e-05,-4.829e-05,4.793,0.181,-0.181,418.0,16.2,-16.2,2.76,0.43,-0.24,1.053,0.161,-0.094,28.5
5358241,K00829.03,CONFIRMED,38.5576546,0.0001765,-0.0001765,5.794,0.199,-0.199,993.0,26.8,-26.8,4.02,0.62,-0.36,1.053,0.161,-0.094,39.7
5358624,K00830.01,CONFIRMED,3.525632539,1.5e-07,-1.5e-07,2.59959,0.00079,-0.00079,22335.0,13.1,-13.1,11.58,0.9,-0.48,0.793,0.062,-0.033,1996.7
4544670,K00815.01,CANDIDATE,34.84398644,4.036e-05,-4.036e-05,2.9315,0.0702,-0.0702,4523.6,82.5,-82.5,7.61,1.72,-0.91,0.871,0.196,-0.105,76.8
4664847,K00816.01,CONFIRMED,7.748094239,7.553e-06,-7.553e-06,3.5957,0.043,-0.043,2472.1,25.7,-25.7,5.52,1.7,-0.56,1.085,0.334,-0.111,113.2
4725681,K00817.01,CONFIRMED,23.96793669,9.249e-05,-9.249e-05,3.827,0.113,-0.113,1182.3,46.1,-46.1,1.8,0.1,-0.15,0.524,0.03,-0.044,27.5
4725681,K00817.02,CONFIRMED,8.29561738,2.368e-05,-2.368e-05,1.3421,0.0773,-0.0773,824.3,57.5,-57.5,1.82,0.1,-0.15,0.524,0.03,-0.044,17.9
4913852,K00818.01,CONFIRMED,8.11437482,1.092e-05,-1.092e-05,2.2736,0.0447,-0.0447,1558.0,32.0,-32.0,2.1,0.14,-0.16,0.517,0.035,-0.039,56.4
4932348,K00819.01,FALSE POSITIVE,38.036729482,3.484e-06,-3.484e-06,4.34617,0.00645,-0.00645,82872.0,83.3,-83.3,27.5,5.28,-2.27,0.932,0.179,-0.077,1300.0
4936180,K00820.01,CANDIDATE,4.64090031,1.485e-05,-1.485e-05,35.512,0.274,-0.274,2450.6,11.7,-11.7,30.09,5.79,-3.14,0.826,0.159,-0.086,296.9
11913073,K00011.01,FALSE POSITIVE,3.747838198,3.896e-06,-3.896e-06,5.0642,0.0445,-0.0445,616.0,5.3,-5.3,13.65,3.11,-1.04,0.826,0.188,-0.063,138.2
10875245,K00117.01,CONFIRMED,14.74914825,2.174e-05,-2.174e-05,6.0995,0.044,-0.044,430.2,4.2,-4.2,2.89,0.13,-0.1,1.402,0.063,-0.046,107.4
5021899,K00821.01,CONFIRMED,21.81295996,7.229e-05,-7.229e-05,4.3791,0.091,-0.091,1175.4,35.8,-35.8,3.38,0.91,-0.49,0.999,0.269,-0.145,37.8
5077629,K00822.01,FALSE POSITIVE,7.91936937,2.04e-06,-2.04e-06,3.3148,0.0209,-0.0209,15148.0,49.8,-49.8,10.34,2.59,-0.87,0.776,0.195,-0.065,389.0
5115978,K00823.01,CANDIDATE,1.028436523,7.05e-07,-7.05e-07,1.8606,0.034,-0.034,8098.0,127.0,-127.0,72.77,27.71,-8.6,0.99,0.377,-0.117,89.6
5164255,K00824.01,CONFIRMED,15.37562369,1.017e-05,-1.017e-05,3.3169,0.0645,-0.0645,15337.0,114.0,-114.0,11.01,0.44,-0.82,0.833,0.033,-0.062,166.0
5252423,K00825.01,CONFIRMED,8.10363271,2.032e-05,-2.032e-05,3.161,0.0635,-0.0635,887.9,24.5,-24.5,2.11,0.18,-0.2,0.732,0.062,-0.068,39.3
5252423,K00825.02,CONFIRMED,4.71510843,1.941e-05,-1.941e-05,2.506,0.103,-0.103,417.5,22.0,-22.0,1.46,0.12,-0.14,0.732,0.062,-0.068,21.3
5272878,K00826.01,CONFIRMED,6.365839713,8.06e-06,-8.06e-06,2.9721,0.0408,-0.0408,780.7,13.1,-13.1,2.44,0.6,-0.21,0.849,0.212,-0.071,70.8
5283542,K00827.01,FALSE POSITIVE,5.97581754,1.118e-05,-1.118e-05,3.065,0.185,-0.185,962.4,23.5,-23.5,3.86,1.32,-0.44,0.997,0.341,-0.114,50.3
5649215,K00839.01,FALSE POSITIVE,2.446737317,3.089e-06,-3.089e-06,4.7211,0.0546,-0.0546,1177.9,12.7,-12.7,26.25,6.9,-2.47,0.863,0.227,-0.081,110.2
5651104,K00840.01,CONFIRMED,3.04033046,3.37e-07,-3.37e-07,1.8411,0.0168,-0.0168,10859.0,25.8,-25.8,8.99,0.8,-0.99,0.791,0.071,-0.087,568.2
5792202,K00841.01,CONFIRMED,15.33528675,1.989e-05,-1.989e-05,3.897,0.0771,-0.0771,3081.4,39.0,-39.0,5.0,0.49,-0.18,0.817,0.08,-0.029,86.6
10875245,K00117.04,CONFIRMED,7.95825328,7.673e-05,-7.673e-05,4.377,0.229,-0.229,50.0,3.7,-3.7,1.06,0.05,-0.04,1.402,0.063,-0.046,14.7
5792202,K00841.02,CONFIRMED,31.33046135,3.977e-05,-3.977e-05,5.176,0.102,-0.102,5073.8,48.4,-48.4,6.5,0.64,-0.23,0.817,0.08,-0.029,117.2
5370302,K00831.01,FALSE POSITIVE,3.9043425,1.339e-06,-1.339e-06,3.831,0.0271,-0.0271,16228.0,62.1,-62.1,12.28,3.56,-1.19,0.898,0.26,-0.087,323.4
5372966,K00832.01,FALSE POSITIVE,9.286358079,5.46e-07,-5.46e-07,3.49949,0.00533,-0.00533,44791.0,32.8,-32.8,17.61,4.05,-1.87,0.821,0.189,-0.087,1671.1
5376067,K00833.01,FALSE POSITIVE,3.951405455,2.258e-06,-2.258e-06,2.1862,0.0267,-0.0267,2453.9,25.2,-25.2,31.44,8.94,-2.96,0.869,0.247,-0.082,117.2
5436502,K00834.01,CONFIRMED,23.65369415,1.748e-05,-1.748e-05,8.2183,0.021,-0.021,3341.8,13.2,-13.2,7.89,1.38,-1.52,1.384,0.242,-0.266,266.3
5436502,K00834.02,CONFIRMED,13.23352214,4.503e-05,-4.503e-05,6.7372,0.0875,-0.0875,504.6,10.8,-10.8,3.06,0.54,-0.58,1.384,0.242,-0.266,49.1
5436502,K00834.03,CONFIRMED,6.15560285,2.704e-05,-2.704e-05,4.9843,0.0994,-0.0994,285.0,8.6,-8.6,2.32,0.4,-0.45,1.384,0.242,-0.266,35.1
5436502,K00834.04,CONFIRMED,2.090811305,9.571e-06,-9.571e-06,3.388,0.106,-0.106,115.9,6.4,-6.4,1.62,0.28,-0.32,1.384,0.242,-0.266,19.9
